city,scf,zip_code
TOLEDO,435,435xx
TOLEDO,436,436xx
ZANESVILLE,437,437xx
ZANESVILLE,438,438xx
STEUBENVILLE,439,439xx
CLEVELAND,440,440xx
CLEVELAND,441,441xx
AKRON,442,442xx
AKRON,443,443xx
YOUNGSTOWN,444,444xx
YOUNGSTOWN,445,445xx
CANTON,446,446xx
CANTON,447,447xx
MANSFIELD,448,448xx
MANSFIELD,449,449xx
CINCINNATI,450,450xx
CINCINNATI,451,451xx
CINCINNATI,452,452xx
DAYTON,453,453xx
DAYTON,454,454xx
DAYTON,455,455xx
CHILLICOTHE,456,456xx
ATHENS,457,457xx
LIMA,458,458xx
INDIANAPOLIS,460,460xx
INDIANAPOLIS,461,461xx
INDIANAPOLIS,462,462xx
GARY,463,463xx
GARY,464,464xx
SOUTH BEND,465,465xx
SOUTH BEND,466,466xx
FORT WAYNE,467,467xx
FORT WAYNE,468,468xx
KOKOMO,469,469xx
CINCINNATI,470,470xx
LOUISVILLE,471,471xx
COLUMBUS,472,472xx
MUNCIE,473,473xx
BLOOMINGTON,474,474xx
TERRE HAUTE,475,475xx
EVANSVILLE,476,476xx
EVANSVILLE,477,477xx
TERRE HAUTE,478,478xx
LAFAYETTE,479,479xx
TROY,480,480xx
DETROIT,481,481xx
DETROIT,482,482xx
TROY,483,483xx
FLINT,484,484xx
FLINT,485,485xx
SAGINAW,486,486xx
SAGINAW,487,487xx
LANSING,488,488xx
LANSING,489,489xx
KALAMAZOO,490,490xx
KALAMAZOO,491,491xx
JACKSON,492,492xx
GRAND RAPIDS,493,493xx
GRAND RAPIDS,494,494xx
GRAND RAPIDS,495,495xx
TRAVERSE CITY,496,496xx
GAYLORD,497,497xx
KINGSFORD,498,498xx
KINGSFORD,499,499xx
DES MOINES,500,500xx
DES MOINES,501,501xx
DES MOINES,502,502xx
DES MOINES,503,503xx
WATERLOO,504,504xx
FORT DODGE,505,505xx
WATERLOO,506,506xx
WATERLOO,507,507xx
CRESTON,508,508xx
DES MOINES,509,509xx
SIOUX CITY,510,510xx
SIOUX CITY,511,511xx
SIOUX CITY,512,512xx
SIOUX CITY,513,513xx
CARROLL,514,514xx
OMAHA,515,515xx
OMAHA,516,516xx
DUBUQUE,520,520xx
DECORAH,521,521xx
CEDAR RAPIDS,522,522xx
CEDAR RAPIDS,523,523xx
CEDAR RAPIDS,524,524xx
DES MOINES,525,525xx
BURLINGTON,526,526xx
MILAN,527,527xx
MILAN,528,528xx
MILWAUKEE,530,530xx
MILWAUKEE,531,531xx
MILWAUKEE,532,532xx
MILWAUKEE,534,534xx
MADISON,535,535xx
MADISON,537,537xx
MADISON,538,538xx
PORTAGE,539,539xx
SAINT PAUL,540,540xx
GREEN BAY,541,541xx
GREEN BAY,542,542xx
GREEN BAY,543,543xx
ROTHSCHILD,544,544xx
RHINELANDER,545,545xx
LA CROSSE,546,546xx
EAU CLAIRE,547,547xx
SPOONER,548,548xx
OSHKOSH,549,549xx
SAINT PAUL,550,550xx
SAINT PAUL,551,551xx
MINNEAPOLIS,553,553xx
MINNEAPOLIS,554,554xx
MINNEAPOLIS,555,555xx
DULUTH,556,556xx
DULUTH,557,557xx
DULUTH,558,558xx
ROCHESTER,559,559xx
MANKATO,560,560xx
MANKATO,561,561xx
WILLMAR,562,562xx
WAITE PARK,563,563xx
BRAINERD,564,564xx
DETROIT LAKES,565,565xx
BEMIDJI,566,566xx
GRAND FORKS,567,567xx
SIOUX FALLS,570,570xx
SIOUX FALLS,571,571xx
HURON,572,572xx
HURON,573,573xx
ABERDEEN,574,574xx
PIERRE,575,575xx
MOBRIDGE,576,576xx
RAPID CITY,577,577xx
FARGO,580,580xx
FARGO,581,581xx
GRAND FORKS,582,582xx
DEVILS LAKE,583,583xx
JAMESTOWN,584,584xx
BISMARCK,585,585xx
BISMARCK,586,586xx
MINOT,587,587xx
WILLISTON,588,588xx
BILLINGS,590,590xx
BILLINGS,591,591xx
WOLF POINT,592,592xx
MILES CITY,593,593xx
GREAT FALLS,594,594xx
HAVRE,595,595xx
HELENA,596,596xx
BUTTE,597,597xx
MISSOULA,598,598xx
KALISPELL,599,599xx
PALATINE,600,600xx
CAROL STREAM,601,601xx
PALATINE,602,602xx
CAROL STREAM,603,603xx
BEDFORD PARK,604,604xx
FOX VALLEY,605,605xx
CHICAGO,606,606xx
CHICAGO,607,607xx
CHICAGO,608,608xx
KANKAKEE,609,609xx
ROCKFORD,610,610xx
ROCKFORD,611,611xx
MILAN,612,612xx
LA SALLE,613,613xx
GALESBURG,614,614xx
PEORIA,615,615xx
PEORIA,616,616xx
BLOOMINGTON,617,617xx
CHAMPAIGN,618,618xx
CHAMPAIGN,619,619xx
SAINT LOUIS,620,620xx
SAINT LOUIS,622,622xx
QUINCY,623,623xx
EFFINGHAM,624,624xx
SPRINGFIELD,625,625xx
SPRINGFIELD,626,626xx
SPRINGFIELD,627,627xx
CENTRALIA,628,628xx
CARBONDALE,629,629xx
SAINT LOUIS,630,630xx
SAINT LOUIS,631,631xx
SAINT LOUIS,633,633xx
QUINCY,634,634xx
QUINCY,635,635xx
CAPE GIRARDEAU,636,636xx
CAPE GIRARDEAU,637,637xx
CAPE GIRARDEAU,638,638xx
